EpochTime;CurrentPlaybackTime;CurrentBufferSize;CurrentPlaybackState;Action;Bitrate
0;0;0;INITIAL_BUFFERING;Starting;0
0;0;0;INITIAL_BUFFERING;Starting;0
0;0;1;INITIAL_BUFFERING;Writing;4129868
0;0;1;PLAY;InitialBuffering-Play;0
1;0;0;PLAY;StillPlaying;4129868
557;0;1;PLAY;Writing;4129868.0
1140;1;2;PLAY;Writing;4129868.0
1721;1;3;PLAY;Writing;4129868.0
2258;2;4;PLAY;Writing;4129868.0
2806;2;5;PLAY;Writing;4129868.0
3369;3;6;PLAY;Writing;4129868.0
3931;3;7;PLAY;Writing;4129868.0
4001;4;6;PLAY;StillPlaying;4129868.0
4503;4;7;PLAY;Writing;4129868.0
5077;5;8;PLAY;Writing;4129868.0
5637;5;9;PLAY;Writing;4129868.0
6169;6;10;PLAY;Writing;4129868.0
6695;6;11;PLAY;Writing;4129868.0
8001;8;10;PLAY;StillPlaying;4129868.0
11289;11;11;PLAY;Writing;4129868.0
12001;12;10;PLAY;StillPlaying;4129868.0
15948;15;11;PLAY;Writing;4129868.0
16001;16;10;PLAY;StillPlaying;4129868.0
20001;20;9;PLAY;StillPlaying;4129868.0
20523;20;10;PLAY;Writing;4129868.0
21128;21;11;PLAY;Writing;4129868.0
24001;24;10;PLAY;StillPlaying;4129868.0
25741;25;11;PLAY;Writing;4129868.0
28001;28;10;PLAY;StillPlaying;4129868.0
30516;30;11;PLAY;Writing;4129868.0
32001;32;10;PLAY;StillPlaying;4129868.0
35234;35;11;PLAY;Writing;4129868.0
36001;36;10;PLAY;StillPlaying;4129868.0
39981;39;11;PLAY;Writing;4129868.0
40001;40;10;PLAY;StillPlaying;4129868.0
40720;40;11;PLAY;Writing;4129868.0
44001;44;10;PLAY;StillPlaying;4129868.0
45419;45;11;PLAY;Writing;4129868.0
48001;48;10;PLAY;StillPlaying;4129868.0
50162;50;11;PLAY;Writing;4129868.0
52001;52;10;PLAY;StillPlaying;4129868.0
54833;54;11;PLAY;Writing;4129868.0
56001;56;10;PLAY;StillPlaying;4129868.0
59521;59;11;PLAY;Writing;4129868.0
60001;60;10;PLAY;StillPlaying;4129868.0
64001;64;9;PLAY;StillPlaying;4129868.0
64204;64;10;PLAY;Writing;4129868.0
64839;64;11;PLAY;Writing;4129868.0
68001;68;10;PLAY;StillPlaying;4129868.0
69464;69;11;PLAY;Writing;4129868.0
72001;72;10;PLAY;StillPlaying;4129868.0
74106;74;11;PLAY;Writing;4129868.0
76001;76;10;PLAY;StillPlaying;4129868.0
78742;78;11;PLAY;Writing;4129868.0
80001;80;10;PLAY;StillPlaying;4129868.0
83347;83;11;PLAY;Writing;4129868.0
84001;84;10;PLAY;StillPlaying;4129868.0
87935;87;11;PLAY;Writing;4129868.0
88001;88;10;PLAY;StillPlaying;4129868.0
92001;92;9;PLAY;StillPlaying;4129868.0
92591;92;10;PLAY;Writing;4129868.0
93290;93;11;PLAY;Writing;4129868.0
96001;96;10;PLAY;StillPlaying;4129868.0
97899;97;11;PLAY;Writing;4129868.0
100001;100;10;PLAY;StillPlaying;4129868.0
102489;102;11;PLAY;Writing;4129868.0
104001;104;10;PLAY;StillPlaying;4129868.0
107070;107;11;PLAY;Writing;4129868.0
108001;108;10;PLAY;StillPlaying;4129868.0
111698;111;11;PLAY;Writing;4129868.0
112001;112;10;PLAY;StillPlaying;4129868.0
116001;116;9;PLAY;StillPlaying;4129868.0
116335;116;10;PLAY;Writing;4129868.0
116927;116;11;PLAY;Writing;4129868.0
120001;120;10;PLAY;StillPlaying;4129868.0
121597;121;11;PLAY;Writing;4129868.0
124001;124;10;PLAY;StillPlaying;4129868.0
126258;126;11;PLAY;Writing;4129868.0
128001;128;10;PLAY;StillPlaying;4129868.0
130856;130;11;PLAY;Writing;4129868.0
132001;132;10;PLAY;StillPlaying;4129868.0
135535;135;11;PLAY;Writing;4129868.0
136001;136;10;PLAY;StillPlaying;4129868.0
140001;140;9;PLAY;StillPlaying;4129868.0
140209;140;10;PLAY;Writing;4129868.0
140819;140;11;PLAY;Writing;4129868.0
144001;144;10;PLAY;StillPlaying;4129868.0
145469;145;11;PLAY;Writing;4129868.0
148001;148;10;PLAY;StillPlaying;4129868.0
150105;150;11;PLAY;Writing;4129868.0
152001;152;10;PLAY;StillPlaying;4129868.0
154708;154;11;PLAY;Writing;4129868.0
156001;156;10;PLAY;StillPlaying;4129868.0
159288;159;11;PLAY;Writing;4129868.0
160001;160;10;PLAY;StillPlaying;4129868.0
163879;163;11;PLAY;Writing;4129868.0
164001;164;10;PLAY;StillPlaying;4129868.0
168001;168;9;PLAY;StillPlaying;4129868.0
168445;168;10;PLAY;Writing;4129868.0
169013;169;11;PLAY;Writing;4129868.0
172001;172;10;PLAY;StillPlaying;4129868.0
173625;173;11;PLAY;Writing;4129868.0
176001;176;10;PLAY;StillPlaying;4129868.0
178227;178;11;PLAY;Writing;4129868.0
180001;180;10;PLAY;StillPlaying;4129868.0
182896;182;11;PLAY;Writing;4129868.0
184001;184;10;PLAY;StillPlaying;4129868.0
187535;187;11;PLAY;Writing;4129868.0
188001;188;10;PLAY;StillPlaying;4129868.0
192001;192;9;PLAY;StillPlaying;4129868.0
192198;192;10;PLAY;Writing;4129868.0
192852;192;11;PLAY;Writing;4129868.0
196001;196;10;PLAY;StillPlaying;4129868.0
197471;197;11;PLAY;Writing;4129868.0
200001;200;10;PLAY;StillPlaying;4129868.0
202056;202;11;PLAY;Writing;4129868.0
204001;204;10;PLAY;StillPlaying;4129868.0
206704;206;11;PLAY;Writing;4129868.0
208001;208;10;PLAY;StillPlaying;4129868.0
211393;211;11;PLAY;Writing;4129868.0
212001;212;10;PLAY;StillPlaying;4129868.0
215978;215;11;PLAY;Writing;4129868.0
216001;216;10;PLAY;StillPlaying;4129868.0
216554;216;11;PLAY;Writing;4129868.0
220001;220;10;PLAY;StillPlaying;4129868.0
221168;221;11;PLAY;Writing;4129868.0
224001;224;10;PLAY;StillPlaying;4129868.0
225707;225;11;PLAY;Writing;4129868.0
228001;228;10;PLAY;StillPlaying;4129868.0
230316;230;11;PLAY;Writing;4129868.0
232001;232;10;PLAY;StillPlaying;4129868.0
235020;235;11;PLAY;Writing;4129868.0
236001;236;10;PLAY;StillPlaying;4129868.0
239625;239;11;PLAY;Writing;4129868.0
240001;240;10;PLAY;StillPlaying;4129868.0
244001;244;9;PLAY;StillPlaying;4129868.0
244234;244;10;PLAY;Writing;4129868.0
244960;244;11;PLAY;Writing;4129868.0
248001;248;10;PLAY;StillPlaying;4129868.0
249563;249;11;PLAY;Writing;4129868.0
252001;252;10;PLAY;StillPlaying;4129868.0
254211;254;11;PLAY;Writing;4129868.0
256001;256;10;PLAY;StillPlaying;4129868.0
258845;258;11;PLAY;Writing;4129868.0
260001;260;10;PLAY;StillPlaying;4129868.0
263417;263;11;PLAY;Writing;4129868.0
264001;264;10;PLAY;StillPlaying;4129868.0
267972;267;11;PLAY;Writing;4129868.0
268001;268;10;PLAY;StillPlaying;4129868.0
268562;268;11;PLAY;Writing;4129868.0
272001;272;10;PLAY;StillPlaying;4129868.0
273172;273;11;PLAY;Writing;4129868.0
276001;276;10;PLAY;StillPlaying;4129868.0
277807;277;11;PLAY;Writing;4129868.0
280001;280;10;PLAY;StillPlaying;4129868.0
282392;282;11;PLAY;Writing;4129868.0
284001;284;10;PLAY;StillPlaying;4129868.0
287068;287;11;PLAY;Writing;4129868.0
288001;288;10;PLAY;StillPlaying;4129868.0
291661;291;11;PLAY;Writing;4129868.0
292001;292;10;PLAY;StillPlaying;4129868.0
296001;296;9;PLAY;StillPlaying;4129868.0
